emp_no;posisi_id
18-0019;1
99-0517;2
#N/A;3
83-0195;4
18-0020;5
#N/A;6
20-1500;7
17-0808;8
20-1776;9
94-0493;10
89-0278;11
91-0328;12
04-0362;13
00-0696;14
02-0122;15
03-0170;16
05-0369;17
05-0266;18
88-0481;19
02-0025;20
88-0483;21
90-0667;22
#N/A;23
03-0101;24
10-0242;25
99-0362;26
97-0420;27
02-0031;28
88-0213;28
04-0373;29
89-0546;30
03-0554;31
00-0627;32
05-0269;33
#N/A;34
98-0122;35
91-0718;36
91-0721;37
95-0345;38
99-0038;39
99-0258;40
95-0788;41
89-0172;42
91-0603;43
99-0359;44
90-0128;45
89-0325;46
99-0255;47
#N/A;48
89-0329;49
88-0506;50
95-0279;51
02-0153;52
95-0352;53
92-0128;54
98-0163;55
87-0281;56
03-0219;57
05-0185;58
89-0398;59
03-0372;60
05-0376;61
#N/A;62
00-0520;63
04-0182;64
88-0111;65
91-0525;66
02-0133;67
91-0099;68
#N/A;69
#N/A;70
#N/A;71
89-0794;72
99-0073;73
88-0499;74
08-0108;75
99-0130;76
99-0280;77
95-0790;78
99-0040;79
#N/A;80
03-0118;81
99-0136;82
#N/A;83
93-0153;84
04-0135;85
94-0354;86
#N/A;87
04-0395;88
#N/A;89
90-0423;90
04-0134;91
#N/A;92
94-0403;93
#N/A;94
#N/A;95
#N/A;96
#N/A;97
#N/A;98
91-0497;99
07-0013;100
03-0305;101
94-0691;102
15-0628;103
20-0117;104
05-0384;105
20-1020;106
05-0456;107
05-0276;108
#N/A;109
05-0457;110
14-0895;111
16-1966;112
03-0216;113
94-0463;114
95-0183;115
03-0004;116
20-1023;117
89-0505;118
94-0613;119
20-0119;120
89-0384;121
02-0134;122
14-0104;123
15-0631;124
90-0147;125
02-0114;126
12-0795;127
81-0189;127
12-0421;127
14-0083;127
93-0923;127
94-0646;128
14-0218;128
03-0102;128
12-0220;128
14-0082;128
12-0221;128
05-0451;128
89-0800;128
00-0555;129
02-0140;129
17-0488;129
91-0377;129
16-0747;129
14-0080;129
90-0153;129
90-0639;129
08-0747;129
17-0487;129
12-0420;129
03-0110;129
04-0386;129
99-0361;130
90-0085;130
05-0203;130
93-0919;130
17-0491;131
12-0984;131
99-0277;131
05-0368;131
15-0265;131
00-0502;131
05-0378;131
05-0352;131
14-0220;131
05-0360;131
10-0233;131
12-0422;132
94-0393;132
00-0709;132
90-0083;132
91-0828;133
03-0378;133
12-0325;133
03-0103;133
03-0074;133
10-0418;134
03-0109;134
10-0409;134
05-0371;134
13-0023;134
88-0035;134
16-0745;134
13-0026;134
04-0385;134
12-0324;134
16-1071;134
05-0459;134
00-0556;134
12-0986;135
94-0395;135
04-0360;135
99-0066;136
20-0800;136
12-1003;136
05-0372;136
10-0419;136
08-0158;136
04-0358;136
94-0004;137
04-0546;137
88-0473;137
12-0441;138
12-0326;138
03-0547;138
94-0349;138
03-0379;138
91-0665;139
03-0106;139
15-0236;139
16-0748;139
17-0486;139
08-0758;139
16-0232;139
91-0067;139
08-0751;139
93-0892;139
16-1078;139
12-0982;140
03-0534;140
08-0786;140
03-0010;140
04-0361;141
16-0750;141
12-1007;141
05-0357;141
14-0217;141
14-0219;141
16-0416;141
05-0261;141
08-0787;141
00-0705;142
04-0542;142
08-0792;142
16-1074;142
16-0235;142
05-0449;142
00-0631;142
05-0255;142
08-0170;142
15-0235;142
12-1008;142
87-0240;143
10-0417;143
90-0548;143
93-0139;143
13-0024;143
88-0365;143
05-0452;143
03-0122;143
13-0436;143
94-0518;143
93-0607;143
03-0552;144
90-0130;144
20-0672;145
08-0767;145
87-0142;145
13-0427;145
17-0116;145
00-0042;145
93-0577;145
14-0086;145
13-0128;145
16-0185;145
16-1073;145
12-0981;145
07-0002;146
04-0381;146
17-0119;146
16-0412;146
14-0221;146
13-0126;146
00-0501;146
05-0466;146
91-0771;147
02-0095;147
90-0299;147
12-1011;147
05-0127;147
03-0130;147
16-0173;147
89-0282;147
13-0432;148
95-0784;148
16-1068;148
16-0176;148
14-0222;148
02-0144;148
12-1081;149
13-0650;149
03-0481;149
12-0979;149
03-0371;149
03-0177;149
16-0419;149
14-1016;149
00-0055;149
08-0173;149
03-0316;149
02-0143;150
07-0200;150
89-0806;150
00-0510;150
03-0482;150
05-0176;150
94-0401;150
03-0073;150
13-0437;150
17-0108;150
12-0980;151
05-0362;151
13-0424;151
14-1031;151
98-0164;151
04-0181;151
08-0187;151
99-0281;151
16-0754;151
16-1069;151
14-0088;152
12-0788;152
16-0420;152
15-0258;152
16-0180;152
16-0523;152
02-0241;152
14-0089;152
18-0169;152
08-0195;152
12-0991;152
00-0513;152
12-0985;153
03-0176;153
02-0137;153
93-0656;153
97-0421;153
14-0223;153
93-0303;153
18-0175;154
10-0236;154
04-0357;154
16-0738;154
97-0429;155
12-0443;155
12-0222;155
12-0223;155
88-0247;155
12-0444;156
05-0454;156
95-0171;156
08-0760;156
89-0359;156
14-0081;156
16-0743;156
08-0761;156
16-0746;156
17-0484;156
12-0794;157
95-0181;157
94-0003;157
17-0201;157
08-0151;158
04-0179;158
14-1019;158
12-0978;158
13-0130;158
13-0645;158
94-0187;158
13-0643;158
14-0096;158
20-1906;158
12-0977;158
13-0439;158
03-0319;159
93-0144;159
17-0202;159
99-0253;159
12-1006;159
96-0663;159
20-0671;159
12-0493;159
02-0151;160
99-0039;160
03-0312;160
88-0422;160
03-0320;160
00-0509;160
08-0169;160
15-0266;161
03-0375;161
02-0142;161
14-0093;161
12-0961;161
00-0745;161
16-0797;161
02-0032;161
05-0167;161
04-0184;161
14-0092;161
16-0167;161
05-0181;161
00-0049;161
05-0168;161
00-0505;161
99-0036;161
12-0227;161
15-0267;162
14-0084;162
04-0173;162
13-0672;162
13-0447;162
12-0216;163
16-1066;163
04-0177;163
08-0196;163
05-0351;163
13-0426;163
16-0417;163
07-0116;163
04-0366;163
05-0433;163
04-0308;163
03-0315;163
08-0179;163
20-1903;163
04-0174;163
89-0288;163
12-0224;163
05-0205;164
13-0448;164
16-0183;164
05-0354;164
12-0962;164
04-0183;164
16-0182;164
11-0513;165
07-0111;165
