emp_no;posisi_id
18-0019;14774
99-0517;5846
#N/A;12003
83-0195;6986
18-0020;14776
#N/A;8492
20-1500;14960
17-0808;16358
20-1776;16359
94-0493;14978
89-0278;15507
91-0328;15508
04-0362;15509
00-0696;15510
02-0122;15511
03-0170;15512
05-0369;15513
05-0266;15514
88-0481;15515
02-0025;15516
88-0483;15517
90-0667;15518
#N/A;15519
03-0101;15520
10-0242;15521
99-0362;15522
97-0420;15523
02-0031;15524
88-0213;15524
04-0373;15525
89-0546;15526
03-0554;15527
00-0627;15528
05-0269;15529
#N/A;15530
98-0122;15531
91-0718;15532
91-0721;15533
95-0345;15534
99-0038;15535
99-0258;15536
95-0788;15537
89-0172;15539
91-0603;15541
99-0359;15542
90-0128;15545
89-0325;15546
99-0255;15547
#N/A;15548
89-0329;15549
88-0506;15551
95-0279;15552
02-0153;15553
95-0352;15554
92-0128;15555
98-0163;15556
87-0281;15557
03-0219;15558
05-0185;15560
89-0398;15561
03-0372;15562
05-0376;15563
#N/A;15564
00-0520;15566
04-0182;15568
88-0111;15570
91-0525;15571
02-0133;15572
91-0099;15573
#N/A;15574
#N/A;15575
#N/A;15576
89-0794;15577
99-0073;15578
88-0499;15579
08-0108;15580
99-0130;15581
99-0280;15583
95-0790;15585
99-0040;15586
#N/A;15588
03-0118;15589
99-0136;15590
#N/A;15591
93-0153;15592
04-0135;15593
94-0354;15600
#N/A;15601
04-0395;15602
#N/A;15603
90-0423;15604
04-0134;15605
#N/A;15606
94-0403;15607
#N/A;15608
#N/A;15609
#N/A;15611
#N/A;15613
#N/A;15615
91-0497;15616
07-0013;15617
03-0305;15618
94-0691;15619
15-0628;15620
20-0117;15621
05-0384;15622
20-1020;15623
05-0456;15624
05-0276;15626
#N/A;15629
05-0457;15630
14-0895;15631
16-1966;15632
03-0216;15633
94-0463;15634
95-0183;15635
03-0004;15636
20-1023;15637
89-0505;15638
94-0613;15639
20-0119;15640
89-0384;15641
02-0134;15642
14-0104;15643
15-0631;15644
90-0147;15645
02-0114;15646
12-0795;15648
81-0189;15648
12-0421;15648
14-0083;15648
93-0923;15648
94-0646;15650
14-0218;15650
03-0102;15650
12-0220;15650
14-0082;15650
12-0221;15650
05-0451;15650
89-0800;15650
00-0555;15652
02-0140;15652
17-0488;15652
91-0377;15652
16-0747;15652
14-0080;15652
90-0153;15652
90-0639;15652
08-0747;15652
17-0487;15652
12-0420;15652
03-0110;15652
04-0386;15652
99-0361;15654
90-0085;15654
05-0203;15654
93-0919;15654
17-0491;15656
12-0984;15656
99-0277;15656
05-0368;15656
15-0265;15656
00-0502;15656
05-0378;15656
05-0352;15656
14-0220;15656
05-0360;15656
10-0233;15656
12-0422;15658
94-0393;15658
00-0709;15658
90-0083;15658
91-0828;15668
03-0378;15668
12-0325;15668
03-0103;15668
03-0074;15668
10-0418;15670
03-0109;15670
10-0409;15670
05-0371;15670
13-0023;15670
88-0035;15670
16-0745;15670
13-0026;15670
04-0385;15670
12-0324;15670
16-1071;15670
05-0459;15670
00-0556;15670
12-0986;15672
94-0395;15672
04-0360;15672
99-0066;15674
20-0800;15674
12-1003;15674
05-0372;15674
10-0419;15674
08-0158;15674
04-0358;15674
94-0004;15676
04-0546;15676
88-0473;15676
12-0441;15678
12-0326;15678
03-0547;15678
94-0349;15678
03-0379;15678
91-0665;15680
03-0106;15680
15-0236;15680
16-0748;15680
17-0486;15680
08-0758;15680
16-0232;15680
91-0067;15680
08-0751;15680
93-0892;15680
16-1078;15680
12-0982;16576
03-0534;16576
08-0786;16576
03-0010;16576
04-0361;16578
16-0750;16578
12-1007;16578
05-0357;16578
14-0217;16578
14-0219;16578
16-0416;16578
05-0261;16578
08-0787;16578
00-0705;16583
04-0542;16583
08-0792;16583
16-1074;16583
16-0235;16583
05-0449;16583
00-0631;16583
05-0255;16583
08-0170;16583
15-0235;16583
12-1008;16583
87-0240;16588
10-0417;16588
90-0548;16588
93-0139;16588
13-0024;16588
88-0365;16588
05-0452;16588
03-0122;16588
13-0436;16588
94-0518;16588
93-0607;16588
03-0552;16592
90-0130;16592
20-0672;16595
08-0767;16595
87-0142;16595
13-0427;16595
17-0116;16595
00-0042;16595
93-0577;16595
14-0086;16595
13-0128;16595
16-0185;16595
16-1073;16595
12-0981;16595
07-0002;16597
04-0381;16597
17-0119;16597
16-0412;16597
14-0221;16597
13-0126;16597
00-0501;16597
05-0466;16597
91-0771;16599
02-0095;16599
90-0299;16599
12-1011;16599
05-0127;16599
03-0130;16599
16-0173;16599
89-0282;16599
13-0432;16601
95-0784;16601
16-1068;16601
16-0176;16601
14-0222;16601
02-0144;16601
12-1081;16603
13-0650;16603
03-0481;16603
12-0979;16603
03-0371;16603
03-0177;16603
16-0419;16603
14-1016;16603
00-0055;16603
08-0173;16603
03-0316;16603
02-0143;16605
07-0200;16605
89-0806;16605
00-0510;16605
03-0482;16605
05-0176;16605
94-0401;16605
03-0073;16605
13-0437;16605
17-0108;16605
12-0980;16607
05-0362;16607
13-0424;16607
14-1031;16607
98-0164;16607
04-0181;16607
08-0187;16607
99-0281;16607
16-0754;16607
16-1069;16607
14-0088;16609
12-0788;16609
16-0420;16609
15-0258;16609
16-0180;16609
16-0523;16609
02-0241;16609
14-0089;16609
18-0169;16609
08-0195;16609
12-0991;16609
00-0513;16609
12-0985;16611
03-0176;16611
02-0137;16611
93-0656;16611
97-0421;16611
14-0223;16611
93-0303;16611
18-0175;16613
10-0236;16613
04-0357;16613
16-0738;16613
97-0429;16615
12-0443;16615
12-0222;16615
12-0223;16615
88-0247;16615
12-0444;16617
05-0454;16617
95-0171;16617
08-0760;16617
89-0359;16617
14-0081;16617
16-0743;16617
08-0761;16617
16-0746;16617
17-0484;16617
12-0794;16619
95-0181;16619
94-0003;16619
17-0201;16619
08-0151;16621
04-0179;16621
14-1019;16621
12-0978;16621
13-0130;16621
13-0645;16621
94-0187;16621
13-0643;16621
14-0096;16621
20-1906;16621
12-0977;16621
13-0439;16621
03-0319;16623
93-0144;16623
17-0202;16623
99-0253;16623
12-1006;16623
96-0663;16623
20-0671;16623
12-0493;16623
02-0151;16625
99-0039;16625
03-0312;16625
88-0422;16625
03-0320;16625
00-0509;16625
08-0169;16625
15-0266;16627
03-0375;16627
02-0142;16627
14-0093;16627
12-0961;16627
00-0745;16627
16-0797;16627
02-0032;16627
05-0167;16627
04-0184;16627
14-0092;16627
16-0167;16627
05-0181;16627
00-0049;16627
05-0168;16627
00-0505;16627
99-0036;16627
12-0227;16627
15-0267;16629
14-0084;16629
04-0173;16629
13-0672;16629
13-0447;16629
12-0216;16631
16-1066;16631
04-0177;16631
08-0196;16631
05-0351;16631
13-0426;16631
16-0417;16631
07-0116;16631
04-0366;16631
05-0433;16631
04-0308;16631
03-0315;16631
08-0179;16631
20-1903;16631
04-0174;16631
89-0288;16631
12-0224;16631
05-0205;16633
13-0448;16633
16-0183;16633
05-0354;16633
12-0962;16633
04-0183;16633
16-0182;16633
11-0513;16635
07-0111;16635
05-0155;16635
04-0175;16635
12-0983;16635
04-0234;16635
20-1904;16635
05-0178;16635
05-0200;16635
05-0202;16635
03-0072;16635
08-0194;16635
13-0125;16635
16-0422;16635
05-0194;16635
13-0031;16635
16-0219;16637
16-0218;16637
07-0004;16637
16-0184;16637
11-0515;16637
00-0713;16637
04-0312;16637
16-0168;16637
13-0124;16639
89-0567;16639
20-1925;16639
12-0987;16639
05-0367;16639
14-0463;16639
17-0111;16639
16-1070;16639
05-0209;16639
14-0461;16639
12-0965;16639
11-0532;16639
00-0514;16639
12-0964;16639
08-0188;16639
16-0163;16639
05-0153;16639
03-0015;16639
98-0148;16639
05-0373;16639
05-0151;16639
12-0967;16639
16-0779;16643
14-0100;16643
14-0434;16643
12-0990;16643
14-1022;16643
10-0627;16643
14-1013;16643
18-0173;16643
16-0752;16645
15-0259;16645
16-0424;16645
94-0649;16645
08-0477;16647
14-0228;16647
93-0029;16647
11-0183;16647
02-0064;16647
00-0048;16649
07-0008;16649
03-0019;16649
93-0827;16649
14-0435;16651
91-0125;16651
02-0113;16651
87-0206;16651
12-0327;16651
87-0098;16651
93-0775;16651
12-0797;16651
02-0135;16653
04-0396;16653
16-0427;16653
05-0139;16653
15-0231;16653
12-0339;16653
16-0772;16653
99-0259;16655
08-0106;16655
16-0778;16655
88-0038;16655
02-0154;16655
14-1020;16655
14-1014;16655
98-0085;16655
03-0494;16657
14-1021;16657
14-1027;16657
07-0197;16657
03-0382;16659
88-0335;16659
12-1005;16659
14-0098;16659
10-0621;16661
02-0065;16661
89-0590;16661
87-0077;16661
08-0203;16661
96-0099;16661
02-0152;16661
20-1908;16663
14-1025;16663
14-0230;16663
16-0425;16663
08-0157;16663
16-0233;16663
16-0773;16663
18-0170;16663
