posisi_id;kode_posisi;nama_posisi;parent;Direktorat_id;Division_id;Departemen_id;people_id;Jobtitle_code;Parent_path
14774;8013112;PRESIDENT DIRECTOR ;-;-;-;-;;GT_PRESDIR;
5846;8000725;DEPUTY PRESIDENT DIRECTOR/CEO ;14774;-;-;-;;GT_DPTPRESDIR;
12003;8000796;EXECUTIVE DIRECTOR CHIEF OPERATING OFFICER ;5846;-;-;-;;GT_EXCDIR;
6986;8000786;EXECUTIVE DIRECTOR - CHIEF FINANCIAL OFFICER ;5846;50004;-;-;;GT_EXCDIR;
14776;8013114;EXECUTIVE DIRECTOR CHIEF PERSONNEL & ADM. OFFICER ;5846;50001;-;-;;GT_EXCDIR;
8492;8000794;EVP MANUFACTURING ;12003;50000;-;-;;GT_SGM;
14960;8013298;PLANT HEAD MOTORCYCLE ;8492;50000;30000;-;;GT_GM;
16358;8015003;ASST. PLANT HEAD MANUFACTURING ;14960;50000;30000;-;;GT_SMGR;
16359;8015004;ASST. PLANT HEAD NON MANUFACTURING ;14960;50000;30000;-;;GT_SMGR;
14978;8013316;DEPT. HEAD PRODUCTION TIRE B&H ;16358;50000;30000;10000;;GT_MGR;
15507;8014587;SUB DEPT. HEAD PRODUCTION TIRE MATERIAL ;14978;50000;30000;10000;;GT_JMGR;
15508;8014588;SECTION HEAD BTE,HTE,BBC,HBC,BBG,HBG,HSQ ;15507;50000;30000;10000;;GT_SPV;
15509;8014589;TEAM LEADER BTE LINE 01 - 02 ;15508;50000;30000;10000;;GT_STFF;
15510;8014590;TEAM LEADER BTE LINE 03,04,05 ;15508;50000;30000;10000;;GT_STFF;
15511;8014591;TEAM LEADER BBC ;15508;50000;30000;10000;;GT_STFF;
15512;8014592;TEAM LEADER BBG ;15508;50000;30000;10000;;GT_STFF;
15513;8014593;TEAM LEADER HTE,HBC,HBG,HSQ ;15508;50000;30000;10000;;GT_STFF;
