Departemen_id;Departemen_Name;Division_id;Division_name;Direktorat_id;Direktorat_name
199998;DEPNAKER, DOKUMENTASI DKK;33334;GA HEAD OFFFICE DIVISION;121212;HRGA DIRECTORATE
188887;BIDANG DEPT LAIN/UMUM;33334;GA HEAD OFFFICE DIVISION;121212;HRGA DIRECTORATE
177777;ADM/KEUANGAN & PERIJINAN DEPARTMENT;33334;GA HEAD OFFFICE DIVISION;121212;HRGA DIRECTORATE
177776;HR OPERATION HO DEPARTMENT;0;;121212;HRGA DIRECTORATE
166665;INDUSTRIAL ESTATE MANAGEMENT DEPARTMENT;33333;HSE DIVISION;121212;HRGA DIRECTORATE
155554;HEALTH DEPARTMENT;33333;HSE DIVISION;121212;HRGA DIRECTORATE
144443;SAFETY & ENVIRONMENT DEPARTMENT;33333;HSE DIVISION;121212;HRGA DIRECTORATE
133332;VEHICLE SERVICE DEPARTMENT;22222;GA&GS DIVISION;121212;HRGA DIRECTORATE
122221;SECURITY DEPARTMENT;22222;GA&GS DIVISION;121212;HRGA DIRECTORATE
111119;GENERAL SERVICES HEAD OFFICE DEPARTMENT;0;;121212;HRGA DIRECTORATE
111110;GENERAL SERVICES & LICENSING DEPARTMENT;22222;GA&GS DIVISION;121212;HRGA DIRECTORATE
99999;PAYROLL DEPARTMENT;11111;HUMAN RESOURCES DIVISION;121212;HRGA DIRECTORATE
88888;POLICY COMPLIANCE & HO SHARED SERVICE DEPARTMENT;11111;HUMAN RESOURCES DIVISION;121212;HRGA DIRECTORATE
77777;LEARNING & DEVELOPMENT DEPARTMENT;11111;HUMAN RESOURCES DIVISION;121212;HRGA DIRECTORATE
66666;HR OPERATION DEPARTMENT;11111;HUMAN RESOURCES DIVISION;121212;HRGA DIRECTORATE
55555;REWARD MANAGEMENT & HRIS DEPARTMENT;11111;HUMAN RESOURCES DIVISION;121212;HRGA DIRECTORATE
44444;STRATEGIC TALENT ACQUISITION DEPARTMENT;11111;HUMAN RESOURCES DIVISION;121212;HRGA DIRECTORATE
