posisi_id;kode_posisi;nama_posisi;parent;Direktorat_id;Division_id;Departemen_id;people_id;Jobtitle_code;Parent_path
1;8020827;HEAD OF DIVISION AM-DOMESTIC SALES REPLACEMENT;7163;50125;30133;0;;GT_GM;
2;8020828;HEAD OF SALES COMMERCIAL TIRES;1;50125;30133;0;;GT_SMGR;
3;8020829;DEPT. HEAD SALES COMMERCIAL TIRES;2;50125;30133;10185;;GT_MGR;
4;8020830;SALES OFFICER COMMERCIAL TIRES;3;50125;30133;10185;;GT_SPV;
5;8020831;DEPT. HEAD SALES COMMERCIAL TIRES;2;50125;30133;10186;;GT_MGR;
6;8020832;SUB DEPT. HEAD SALES COMMERCIAL TIRES;5;50125;30133;10186;;GT_JMGR;
7;8020833;SALES OFFICER COMMERCIAL TIRES;5;50125;30133;10186;;GT_SPV;
8;8020834;DEPT. HEAD SALES COMMERCIAL TIRES;2;50125;30133;10187;;GT_MGR;
9;8020835;SUB DEPT. HEAD SALES COMMERCIAL TIRES & NATIONAL FLEET;8;50125;30133;10187;;GT_JMGR;
10;8020837;SALES OFFICER NATIONAL FLEET;8;50125;30133;10187;;GT_SPV;
11;8020838;DEPT. HEAD SALES COMMERCIAL TIRES;2;50125;30133;10188;;GT_MGR;
12;8020839;SALES OFFICER COMMERCIAL TIRES;11;50125;30133;10188;;GT_SPV;
13;8020840;DEPT. HEAD SALES COMMERCIAL PROJECT;1;50125;30133;10189;;GT_MGR;
14;8020841;DEPT. HEAD BUSINESS SUPPORT;1;50125;30133;10190;;GT_MGR;
15;8020842;SUB DEPT. HEAD TSS;14;50125;30133;10190;;GT_JMGR;
16;8020843;TSS OFFICER;15;50125;30133;10190;;GT_SPV;
17;8020846;SUB DEPT. HEAD TSS;14;50125;30133;10190;;GT_JMGR;
18;8020847;TSS OFFICER;17;50125;30133;10190;;GT_SPV;
19;8020850;TRAINING OFFICER;17;50125;30133;10190;;GT_SPV;
20;8020851;DATA CENTER OFFICER;14;50125;30133;10190;;GT_SPV;
21;8020852;HEAD OF SALES RETAIL;1;50125;30133;0;;GT_SMGR;
22;8020853;DEPT. HEAD RETAIL SALES;21;50125;30133;10191;;GT_MGR;
23;8020854;SUB DEPT. HEAD RETAIL SALES;22;50125;30133;10191;;GT_JMGR;
24;8020855;RETAIL SALES OFFICER;22;50125;30133;10191;;GT_SPV;
25;8020856;DEPT. HEAD RETAIL SALES;21;50125;30133;10192;;GT_MGR;
26;8020857;SUB DEPT. HEAD RETAIL SALES;25;50125;30133;10192;;GT_JMGR;
27;8020859;HEAD OF SALES PCR TIRES;1;50125;30133;0;;GT_SMGR;
28;8020860;DEPT. HEAD SALES PCR TIRES;27;50125;30133;10193;;GT_MGR;
29;8020861;SUB DEPT. HEAD SALES PCR TIRES;28;50125;30133;10193;;GT_JMGR;
30;8020864;SALES OFFICER PCR TIRES;28;50125;30133;10193;;GT_SPV;
31;8020865;SUB DEPT. HEAD ADMINISTRATION;27;50125;30133;0;;GT_JMGR;
32;80208651;SALES ADMINISTRATION;31;50125;30133;0;;GT_SPV;
111;8020866;HEAD OD DIVISION MARKETING;7163;50125;30136;0;;GT_GM;
222;8020867;DIGITAL MARKETING SPECIALIST;111;50125;30136;0;;GT_MGR;
