emp_no;posisi_id
18-0019;14774
99-0517;5846
-;12003
-;8492
17-0196;19152
91-0488;19149
20-1678;19190
03-0463;19219
89-0238;19236
93-0837;19403
94-0273;19406
08-0311;19406
08-0009;19406
03-0569;19406
04-0050;19406
00-0674;19406
11-0842;19406
11-0770;19406
95-0363;19406
12-0826;19406
12-0932;19406
15-0757;19406
08-0005;19406
87-0237;19408
11-0423;19412
15-0533;19412
94-0155;19412
08-0451;19412
11-0095;19412
12-0901;19412
12-1104;19412
12-1105;19412
16-1389;19412
95-0333;19412
94-0272;19412
96-0034;19412
11-0087;19412
16-1178;19412
93-0091;19415
08-0453;19419
95-0413;19419
05-0018;19419
00-0672;19419
94-0161;19419
08-0007;19419
95-0584;19419
12-1101;19419
08-0008;19419
94-0580;19419
16-0114;19419
11-0416;19419
98-0054;19419
89-0613;19421
11-0080;19423
96-0641;19423
13-0172;19423
15-0538;19423
11-0854;19423
96-0129;19423
95-0687;19423
15-0770;19423
11-0788;19423
94-0167;19423
00-0229;19423
11-0477;19423
10-0194;19423
96-0119;19424
95-0612;19426
11-0769;19426
08-0440;19426
88-0441;19426
05-0021;19426
16-0117;19426
94-0166;19426
11-0436;19426
16-0270;19426
91-0742;19426
16-1176;19426
96-0017;19426
00-0172;19426
00-0174;19426
16-0109;19426
95-0716;19427
93-0830;19429
94-0061;19429
16-0269;19429
00-0600;19429
90-0635;19429
96-0253;19429
12-0353;19429
05-0025;19429
05-0027;19429
11-0779;19429
10-0199;19429
08-0011;19429
05-0024;19429
95-0639;19430
03-0556;19432
11-0433;19432
11-0425;19432
11-0476;19432
91-0692;19432
16-1177;19432
00-0594;19432
92-0187;19432
08-0442;19432
16-2090;19432
10-0341;19432
16-0110;19432
94-0159;19432
98-0055;19432
94-0078;19432
94-0169;19433
16-0267;19435
15-0769;19435
16-1035;19435
94-0017;19435
11-0415;19435
15-1014;19435
16-1385;19435
15-1012;19435
11-0777;19435
05-0026;19435
13-0979;19435
10-0462;19435
10-0195;19435
12-0870;19435
08-0461;19435
12-1099;19435
15-0650;19239
94-0271;19436
15-0756;19438
16-0265;19438
15-1011;19438
11-0771;19438
16-0112;19438
15-1013;19438
12-0872;19438
13-0805;19438
20-0365;19438
00-0228;19438
16-0492;19438
93-0835;19438
20-0366;19438
11-0786;19438
98-0064;19439
13-0807;19441
12-1103;19441
08-0447;19441
11-0775;19441
11-0078;19441
08-0010;19441
15-1017;19441
91-0383;19441
12-0930;19441
16-1171;19441
15-1015;19441
11-0773;19441
16-0266;19441
94-0197;19441
15-0764;19441
11-0419;19441
14-0841;19442
95-0456;19444
15-1018;19444
15-0768;19444
15-0765;19444
15-0766;19444
16-1188;19444
95-0461;19444
11-0787;19444
11-0782;19444
11-0781;19444
20-0367;19444
10-0196;19444
12-0931;19444
11-0100;19444
13-0978;19444
13-0981;19444
00-0175;19445
11-0420;19456
08-0185;19456
16-0108;19456
03-0557;19456
17-0578;19456
96-0258;19456
03-0566;19456
93-0538;19456
00-0176;19456
96-0356;19456
16-0272;19456
12-0929;19456
95-0702;19456
08-0421;19456
05-0313;19222
03-0555;19252
95-1006;19457
95-1105;19459
15-0869;19459
94-0027;19459
13-0374;19459
16-0129;19459
20-0123;19460
99-0154;19462
93-0409;19462
10-0212;19462
08-0024;19462
08-0272;19462
15-0649;19463
00-0675;19465
10-0345;19465
08-0280;19465
95-0611;19465
15-0870;19465
16-0124;19465
95-0101;19466
15-1023;19468
93-0906;19468
94-0625;19468
16-0115;19468
98-0063;19468
11-0825;19468
04-0041;19253
89-0679;19469
00-0327;19471
95-1067;19471
89-0042;19471
08-0443;19471
14-0066;19471
10-0464;19471
13-0802;19471
10-0566;19471
89-0714;19472
91-0703;19474
14-0068;19474
95-0460;19474
16-0496;19474
11-0843;19474
12-0827;19474
11-0823;19474
11-0827;19474
90-0693;19475
12-0922;19477
95-0320;19477
15-1022;19477
03-0573;19477
14-0058;19477
12-0902;19477
11-0474;19477
11-0098;19477
93-0445;19478
15-0539;19480
15-0868;19480
11-0066;19480
01-0030;19480
14-0072;19480
00-0214;19480
98-0062;19480
96-0264;19481
95-0495;19483
16-0497;19483
11-0822;19483
00-0265;19484
95-1091;19486
16-0498;19486
16-0116;19486
04-0082;19487
08-0450;19489
16-0126;19489
15-0872;19489
03-0031;19490
94-0071;19492
00-0234;19492
88-0313;19254
95-1026;19495
17-0577;19497
93-0461;19497
16-0490;19497
98-0057;19497
00-0735;19497
15-0865;19497
96-0249;19497
95-0100;19498
13-0803;19500
20-0368;19500
00-0750;19500
94-0233;19500
94-0418;19500
12-0620;19500
95-0416;19500
87-0139;19501
13-0799;19503
95-1013;19503
12-0619;19503
11-0824;19503
12-0623;19503
95-0207;19503
95-0927;19503
95-0432;19504
16-0488;19506
05-0017;19506
96-0344;19506
93-0548;19506
88-0315;19506
12-0624;19506
96-0245;19506
90-0334;19255
93-0810;19507
95-0203;19509
00-0602;19509
00-0170;19509
89-0698;19509
99-0158;19509
00-0232;19509
13-0811;19509
13-0812;19509
11-0813;19509
98-0058;19510
16-0622;19512
00-0379;19512
93-0832;19512
96-0612;19512
13-0808;19512
13-0171;19512
86-0035;19512
95-1090;19512
94-0127;19513
94-0239;19515
00-0169;19515
94-0615;19515
90-0502;19515
12-0869;19515
13-0376;19515
96-0045;19515
13-0809;19515
96-0267;19515
94-0626;19516
12-0643;19518
04-0083;19518
00-0173;19518
15-1056;19518
15-1021;19518
16-0623;19518
96-0282;19518
89-0464;19518
10-0465;19518
00-0167;19519
97-0335;19519
96-0044;19519
89-0158;19227
93-0857;19520
96-0635;19521
12-0061;19523
08-0439;19523
15-1037;19523
15-1019;19523
96-0259;19523
11-0074;19523
94-0424;19524
17-0265;19526
16-0972;19526
95-0319;19526
11-0852;19526
95-0502;19526
17-0581;19526
94-0417;19527
11-0816;19529
11-0077;19529
10-0552;19529
95-0357;19529
17-0266;19529
00-0537;19529
96-0224;19530
04-0107;19532
14-0309;19532
14-0317;19532
04-0018;19532
12-0905;19532
11-0855;19532
95-0097;19533
08-0018;19535
11-0467;19535
12-0831;19535
13-0169;19535
95-0551;19535
12-0644;19535
96-0118;19535
10-0565;19535
95-0916;19536
95-0412;19538
96-0625;19538
16-0127;19538
11-0810;19538
13-0167;19538
16-2213;19538
12-0833;19538
95-0552;19538
95-0417;19539
95-0099;19541
94-0412;19541
11-0815;19541
16-0130;19541
12-0832;19541
06-0128;19541
14-0138;19541
08-0020;19541
95-1025;19542
10-0559;19544
95-0555;19544
99-0405;19544
95-1023;19544
99-0394;19544
12-1201;19544
93-0066;19544
00-0535;19544
20-0073;19545
14-0136;19547
13-0229;19547
14-0141;19547
11-0421;19547
15-1038;19547
98-0130;19548
00-0603;19550
11-0431;19550
14-0314;19550
11-0806;19550
14-0137;19550
00-0532;19551
16-0974;19553
06-0137;19553
14-0143;19553
15-1020;19553
11-0814;19553
00-0114;19554
11-0588;19556
08-0019;19556
14-0145;19556
11-0807;19556
95-0619;19556
90-0356;19557
96-0226;19558
10-0562;19560
16-1837;19560
13-0384;19560
14-0321;19560
17-0579;19560
00-0113;19560
16-1174;19560
16-1380;19560
16-1678;19560
96-0247;19561
16-2165;19563
12-1205;19563
16-1043;19563
13-0767;19563
11-0809;19563
11-0856;19563
12-1208;19563
16-1045;19563
14-0308;19563
17-0584;19563
96-0223;19564
16-1172;19566
08-0770;19566
16-1377;19566
14-0139;19566
14-0348;19566
11-0434;19566
16-2166;19566
98-0059;19566
16-0971;19566
12-1203;19566
96-0230;19567
14-0142;19569
12-1209;19569
16-1044;19569
16-1170;19569
17-0267;19569
16-2290;19569
16-1379;19569
16-1787;19569
17-0582;19569
94-0015;19570
13-0092;19571
94-0679;19572
94-0028;19573
04-0004;19574
08-0017;19575
96-0336;19576
94-0158;19577
98-0053;19578
89-0502;19579
14-0307;19580
13-0788;19581
03-0458;19582
14-0906;19586
-;19588
16-1976;19592
20-0980;19594
20-0077;19596
20-0136;19599
89-0680;19601
11-0413;19605
11-0776;19605
95-0438;19605
93-0051;19605
00-0230;19605
00-0673;19605
90-0701;19607
11-0729;19609
96-0333;19609
04-0485;19611
12-1202;19613
17-0583;19613
12-1206;19613
13-0074;19613
16-0621;19613
16-1381;19613
14-0156;19614
15-0597;19616
16-1974;19618
00-0217;19620
92-0060;18771
13-0404;18788
93-0175;18792
88-0028;18899
13-0797;18917
20-0026;18917
14-0168;18917
12-1213;18917
08-0022;18917
13-0371;18917
04-0101;18917
04-0211;18917
94-0228;18917
89-0270;18917
12-0824;18917
10-0185;18917
93-0808;18917
12-0927;18917
89-0702;18917
12-0630;18917
89-0602;18901
95-0839;18939
13-0794;18939
12-1216;18939
08-0452;18939
12-1107;18939
12-0866;18939
12-0926;18939
12-1215;18939
